name,host_id,host_name,host_is_superhost,neighbourhood,neighbourhood_cleansed,beds,price,review_scores_rating
Rental unit in Chicago · ★4.60 · 1 bedroom · 1 bed · 2 shared baths,2907254,Joe,f,"Chicago, Illinois, United States",West Ridge,1,$28.00,4.6
Rental unit in Chicago · ★4.79 · 2 bedrooms · 2 beds · 1 bath,33004,At Home Inn,t,"Chicago, Illinois, United States",Lincoln Park,2,$146.00,4.79
Bungalow in Chicago · ★4.85 · 1 bedroom · 1 bed · 1.5 shared baths,6088938,Eric,t,"Chicago, Illinois, United States",Beverly,1,$49.00,4.85
Condo in Chicago · ★4.99 · 1 bedroom · 1 bed · 1 shared bath,2613,Rebecca,t,"Chicago, Illinois, United States",Hyde Park,1,$70.00,4.99
Home in Chicago · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,8186262,April,t,"Chicago, Illinois, United States",Lower West Side,1,$48.00,4.89
Rental unit in Chicago · ★4.93 · 3 bedrooms · 8 beds · 2 baths,2810938,Carole,t,"Chicago, Illinois, United States",Near North Side,8,$514.00,4.93
Rental unit in Chicago · ★4.70 · 1 bedroom · 1 bed · 1 bath,17928,Sarah,t,"Chicago, Illinois, United States",West Town,1,$90.00,4.7
Rental unit in Chicago · ★4.83 · 1 bedroom · 4 beds · 1 bath,8489460,Holly + Mark,t,"Chicago, Illinois, United States",Rogers Park,4,$129.00,4.83
Rental unit in Chicago · ★4.91 · 1 bedroom · 2 beds · 1 private bath,8595700,Carin,t,"Chicago, Illinois, United States",Lake View,2,$68.00,4.91
Boutique hotel in Chicago · ★4.93 · 1 bedroom · 1 bed · 1 private bath,46734,Shay And Robert,f,"Chicago, Illinois, United States",Lincoln Park,1,$329.00,4.93
Rental unit in Chicago · ★4.66 · 1 bedroom · 1 bed · 1 private bath,8619275,Leszek,t,"Chicago, Illinois, United States",Lincoln Park,1,$150.00,4.66
Rental unit in Chicago · ★4.29 · 1 bedroom · 1 bed · 1 bath,101521,Red,f,"Chicago, Illinois, United States",Lincoln Park,1,$59.00,4.29
Rental unit in Chicago · ★4.32 · 2 bedrooms · 3 beds · 1 bath,101521,Red,f,"Chicago, Illinois, United States",Lincoln Park,3,$74.00,4.32
Loft in Chicago · ★4.78 · 3 bedrooms · 3 beds · 2 baths,27506,Lauri,t,"Chicago, Illinois, United States",Logan Square,3,$139.00,4.78
Home in Chicago · ★4.78 · 2 bedrooms · 2 beds · 1 shared bath,1426804,Afri,f,"Chicago, Illinois, United States",Chatham,2,$55.00,4.78
Rental unit in Chicago · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,334241,Michael And Veronica,t,"Chicago, Illinois, United States",West Town,1,$96.00,4.88
Rental unit in Chicago · ★4.90 · 1 bedroom · 2 beds · 1 bath,8813383,Mindy + Tony,t,"Chicago, Illinois, United States",West Town,2,$96.00,4.9
Rental unit in Chicago · ★5.0 · 1 bedroom · 1 bed · 1 bath,504470,Mark,t,"Chicago, Illinois, United States",Edgewater,1,$111.00,5.0
Rental unit in Chicago · ★4.81 · 2 bedrooms · 2 beds · 1 bath,9249272,Mark,t,"Chicago, Illinois, United States",Lake View,2,$173.00,4.81
Rental unit in Chicago · ★4.78 · 3 bedrooms · 3 beds · 2 baths,683529,Joe,t,"Chicago, Illinois, United States",North Center,3,$198.00,4.78
Rental unit in Chicago · ★4.78 · 4 bedrooms · 4 beds · 2 baths,683529,Joe,t,"Chicago, Illinois, United States",Lincoln Park,4,$298.00,4.78
Rental unit in Chicago · ★4.95 · 2 bedrooms · 3 beds · 1 bath,899757,Meighan,t,"Chicago, Illinois, United States",Logan Square,3,$200.00,4.95
Home in Chicago · ★4.97 · 1 bedroom · 1 bed · 1.5 shared baths,1559157,Amanda,t,"Chicago, Illinois, United States",Lower West Side,1,$82.00,4.97
Rental unit in Chicago · ★4.77 · 1 bedroom · 2 beds · 1 bath,9297431,Inn At Wrigleyville,t,"Chicago, Illinois, United States",Lake View,2,$279.00,4.77
Rental unit in Chicago · ★4.90 · 1 bedroom · 1 bed · 1 bath,1019125,Jb,t,"Chicago, Illinois, United States",Pullman,1,$100.00,4.9
Rental unit in Chicago · ★4.71 · 3 bedrooms · 5 beds · 2 baths,9297431,Inn At Wrigleyville,t,"Chicago, Illinois, United States",Lake View,5,$565.00,4.71
Rental unit in Chicago · ★4.94 · 4 bedrooms · 5 beds · 2 baths,9297431,Inn At Wrigleyville,t,"Chicago, Illinois, United States",Lake View,5,$765.00,4.94
Rental unit in Chicago · ★4.76 · 4 bedrooms · 5 beds · 2 baths,9297431,Inn At Wrigleyville,t,"Chicago, Illinois, United States",Lake View,5,$765.00,4.76
Home in Chicago · ★4.89 · 1 bedroom · 1 bed · 1 private bath,9483312,Ryan,t,"Chicago, Illinois, United States",Woodlawn,1,$79.00,4.89
Place to stay in Chicago · ★4.91 · 1 bedroom · 1 bed · 1 bath,1019125,Jb,t,"Chicago, Illinois, United States",Pullman,1,$50.00,4.91
Rental unit in Chicago · ★5.0 · 2 bedrooms · 1 bed · 1 bath,1019125,Jb,t,"Chicago, Illinois, United States",Pullman,1,$100.00,5.0
Home in Chicago · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,1173654,Jillian,f,"Chicago, Illinois, United States",Logan Square,1,$88.00,4.92
Home in Chicago · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,1224828,Tippi,f,"Chicago, Illinois, United States",Irving Park,1,$60.00,4.8
Condo in Chicago · ★4.84 · 2 bedrooms · 1 bed · 1 bath,1311953,Ronald,f,"Chicago, Illinois, United States",Near South Side,1,$170.00,4.84
Rental unit in Chicago · ★4.90 · 1 bedroom · 1 bed · 1 bath,1358243,June,t,"Chicago, Illinois, United States",West Ridge,1,$48.00,4.9
Rental unit in Chicago · ★4.58 · 1 bedroom · 1 bed · 1 bath,9471604,James,f,"Chicago, Illinois, United States",Lincoln Park,1,$364.00,4.58
Condo in Chicago · ★4.84 · 2 bedrooms · 2 beds · 1.5 baths,1387948,Dominic,f,"Chicago, Illinois, United States",Near West Side,2,$163.00,4.84
Rental unit in Chicago · ★4.86 · 2 bedrooms · 2 beds · 1 bath,9959757,Jedidiah,t,"Chicago, Illinois, United States",Irving Park,2,$77.00,4.86
Condo in Chicago · ★4.79 · 1 bedroom · 1 bed · 1 private bath,1376077,Killian,t,"Chicago, Illinois, United States",Edgewater,1,$32.00,4.79
Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,4995578,George,f,"Chicago, Illinois, United States",Lake View,1,$125.00,5.0
Rental unit in Chicago · ★4.84 · 3 bedrooms · 3 beds · 1.5 baths,1505878,Bob,f,"Chicago, Illinois, United States",Bridgeport,3,$130.00,4.84
Rental unit in Chicago · ★4.74 · 2 bedrooms · 3 beds · 1.5 baths,1505878,Bob,f,"Chicago, Illinois, United States",Bridgeport,3,$146.00,4.74
